Artikelnummer 2	Artikelnummer	Bezeichung	Bezeichung 2	Lagerbestand	Gewicht	Preis (inkl. MWSt)	Preis (exkl. MWSt)	WWW-Link	Webtext	Webtext 2	Herstellernummer	Hersteller	MWST Satz	Endkundenpreis	Garantie (Monate)	Erfassungsdatum	Kategorie 1	Kategorie 2	Kategorie 3	Kategorie	EAN-Code	Lieferdatum	Ausverkaufsartikel	Discountpreis
9909	HT IT HDR-105	Funk-Dimmertrafo HDR-105, Halogenlampen	105W, nur Empfänger, Dimmer/Ein/Aus	10	0.18	33.2	30.86	http://www.intertechno.at/produkte/einbauschalter/HDR-105.html	Intertechno Funk-Dimmertrafo HDR-105, Dimmer Ein/Aus für 12 V-Halogenlampen	Funkgesteuerter Schalter mit elektronischem Transformator	HDR-105	Intertechno	7.6	49	12	21.07.07	Heim/Hobby/Freizeit	Heimelektronik	Hausautomation	Haustechnik	9005437861003	sofort	Nein	41.9
9949	ZTI BR LC-700BK	Tinte Brother LC-700BK zu MFC-4820	Patrone schwarz	7	0.08	28.35	26.35	http://www.brother.ch/products/welcome.cfm?prod_art=LC-700BK	Tinte Brother LC-700BK schwarz, zu  MFC-4820	480Seiten@5%Deckung	LC700BK	Brother	7.6	43.15	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	4977766609418	sofort	Nein	30.5
9951	ZTI BR LC-700C	Tinte Brother LC-700C zu MFC-4820	Patrone cyan	3	0.12	16.85	15.66	http://www.brother.ch/products/welcome.cfm?prod_art=LC-700C	Tinte Brother LC-700C cyan, zu MFC-4820	400Seiten 5%	LC700C	Brother	7.6	27.7	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	4977766609425	sofort	Nein	19.3
9952	ZTI BR LC-700M	Tinte Brother LC-700M zu MFC-4820	Patrone magenta	5	0.08	16.85	15.66	http://www.brother.ch/products/welcome.cfm?prod_art=LC-700M	Tinte Brother LC-700M magenta, zu  MFC-4820	400Seiten@5%Deckung	LC700M	Brother	7.6	27.7	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	4977766609432	sofort	Nein	19.3
9953	ZTI BR LC-700Y	Tinte Brother LC-700Y zu MFC-4820	Patrone yellow	7	0.08	16.85	15.66	http://www.brother.ch/products/welcome.cfm?prod_art=LC-700Y	Tinte Brother LC-700Y gelb, zu MFC-4820C und DCP-4020C	400Seiten 5%Deckung	LC700Y	Brother	7.6	27.7	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	4977766609449	sofort	Nein	19.3
9966	ZTOFL HP Q2681A	Toner cyan zu HP Color Laser Jet 3700	Q2681A, 6000 Seiten @5% Deckung	2	1.51	183	170.07	http://h10010.www1.hp.com/wwpc/ch/de/sm/WF06c/A1-14605-14611-14611-14617-1774305-7911255.html?jumpid=oc_R1002_CHDEC-001_HP%20Color%20LaserJet%203700-Druckpatrone%20Zyanblau&lang=de&cc=ch	Toner HP Q2681A cyan, 6000 Seiten, zu HP Color Laser Jet 3700		Q2681A	HP	7.6	229	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	188.1
9967	ZTOFL HP Q2682A	Toner yellow zu HP Color Laser Jet 3700	Q2682A, 6000 Seiten @5% Deckung	9	1.51	183	170.07	http://h10010.www1.hp.com/wwpc/ch/de/sm/WF06c/A1-14605-14611-14611-14617-1774305-7911257.html?jumpid=oc_R1002_CHDEC-001_HP%20Color%20LaserJet%203700-Druckpatrone%20Gelb&lang=de&cc=ch	Toner HP Q2682A gelb, 6000 Seiten @5% Deckung, zu HP Color Laser Jet 3700		Q2682A	HP	7.6	229	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	188.1
9968	ZTOFL HP Q2683A	Toner magenta zu HP Color Laser Jet 3700	Q2683A, 6000 Seiten @5% Deckung	6	1.51	183	170.07	http://h10010.www1.hp.com/wwpc/ch/de/sm/WF06c/A1-14605-14611-14611-14617-1774305-7911259.html?jumpid=oc_R1002_CHDEC-001_HP%20Color%20LaserJet%203700-Druckpatrone%20Magentarot&lang=de&cc=ch	Toner HP Q2683A magenta, 6000 Seiten @5% Deckung, zu HP Color Laser Jet 3700		Q2683A	HP	7.6	229	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	188.1
9969	PA OKI BANNER A4	Oki Banner Papier A4 210mmx900mm	160 Gramm Box Ó 40 Blatt, 09004651	2	1.9	40.5	37.64	http://switzerland.oki.com/fcgi-bin/public.fcgi?fr=mm&pid=44&cid=136&chid=1&prid=407	OKI Banner Papier 09004651, A4, 210mmx900mm, 160 Gramm, zu C5000, C7000, C9000	Box Ó 40 Blatt	09004651	OKI	7.6	57.7	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Farblaserdrucker	Papier/Folien	5031713925774	sofort	Nein	44.8
10007	ZTOFL HP Q2670A	Toner HP, Q2670A, schwarz, CLJ 3500	6000 Seiten @5% Deckung	9	1.51	143.25	133.13	http://h10010.www1.hp.com/wwpc/ch/de/sm/WF06c/A1-14605-14611-14611-14617-1774299-7911247.html?jumpid=oc_R1002_CHDEC-001_HP%20Color%20LaserJet%20Q2670A-Druckpatrone%20Schwarz&lang=de&cc=ch	Toner HP Q2670A schwarz, 6000 Seiten, zu CLJ 3500/3500 N/3550/ 3550 N/ 3700/3700 DN/DTN/N		Q2670A	HP	7.6	179	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	148.15
10008	ZTOFL HP Q2673A	Toner HP, Q2673A, magenta, CLJ 3500	4000 Seiten @5% Deckung	8	1.46	145.55	135.27	http://h10010.www1.hp.com/wwpc/ch/de/sm/WF06c/A1-14605-14611-14611-14617-1774299-7911253.html?jumpid=oc_R1002_CHDEC-001_HP%20Color%20LaserJet%203500-Druckpatrone%20Magentarot&lang=de&cc=ch	Toner HP Q2673A magenta, 4000 Seiten, zu Color Laserjet 3500/3500 N/3550/3550 N		Q2673A	HP	7.6	189	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	149.9
10009	ZTOFL HP Q2671A	Toner HP, Q2671A, cyan, CLJ 3500	4000 Seiten @5% Deckung	9	1.46	145.55	135.27	http://h10010.www1.hp.com/wwpc/ch/de/sm/WF06c/A1-14605-14611-14611-14617-1774299-7911249.html?jumpid=oc_R1002_CHDEC-001_HP%20Color%20LaserJet%203500-Druckpatrone%20Zyanblau&lang=de&cc=ch	Toner HP Q2671A cyan, 4000 Seiten, zu Color Laserjet 3500/3500 N/3550/3550 N		Q2671A	HP	7.6	189	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	149.9
10010	ZTOFL HP Q2672A	Toner HP, Q2672A, gelb, CLJ 3500	4000 Seiten @5% Deckung	3	1.46	142.7	132.62	http://h10010.www1.hp.com/wwpc/ch/de/sm/WF06c/A1-14605-14611-14611-14617-1774299-7911251.html?jumpid=oc_R1002_CHDEC-001_HP%20Color%20LaserJet%203500-Druckpatrone%20Gelb&lang=de&cc=ch	Toner HP Q2672A gelb, 4000 Seiten, zu Color Laserjet 3500/3500 N/3550/3550 N		Q2672A	HP	7.6	179	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	147.55
10013	DVDZ LIBRARY II	Dacal DVD/CD Library DC-300	für 150 DVD/CDs mit USB-Port	8	4.5	159.3	148.05	http://www.dacal.de	Dacal DVD/CD Library DC-300 für 150 DVD/CDs mit USB Port	Für PC inkl. Software Microsoft Windows 98/se/2000/XP.	DC-300	Dacal	7.6	219	12	06.10.06	PCs und Komponenten	Drives und Medien	CD-Medien	Speichermedien	4710810570025	sofort	Nein	174.1
10097	ZTI EP T048140	Tinte Stylus Photo R200/R300 / RX500	RX600/ RX620, schwarz	6	0.06	23.95	22.26	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T04814010?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson T048140 schwarz, 630 Seiten, zu Stylus Photo R200/R300/RX500/RX600/RX620		C13T04814010	Epson	7.6	37	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946356020	sofort	Nein	26.05
10098	ZTI EP T048240 CY	Tinte Stylus Photo R200/ R300 / RX500	cyan	0	0.06	24.8	23.05	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T04824010?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson T048240 cyan, 430 Seiten, zu Stylus Photo R200/R300/RX500		C13T04824010	Epson	7.6	38	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946356044	unbekannt	Nein	26.95
10099	ZTI EP T048340 MA	Tinte Stylus Photo R200/R300 / RX500	RX600/ RX620, magenta	1	0.06	24.8	23.05	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T04834010?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson T048340 magenta, 430 Seiten, zu Stylus Photo R200/R300/RX500/RX600/RX620		C13T04834010	Epson	7.6	38	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946356068	sofort	Nein	26.95
10100	ZTI EP T048440 YE	Tinte Stylus Photo R200/ R300 / RX500	RX600/ RX620, Yellow	1	0.06	24.8	23.05	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T04844010?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson T048440 gelb, 430 Seiten, zu Stylus Photo R200/R300/RX500/RX600/RX620		C13T04844010	Epson	7.6	38	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946356082	sofort	Nein	26.95
10101	ZTI EP T048540 HCY	Tinte Stylus Photo R200/ R300 / RX500	RX600/ RX620, hell cyan	2	0.06	24.8	23.05	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T04854010?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson T048540 hell cyan, 430 Seiten, zu Stylus Photo R200/R300/RX500/RX600/RX620		C13T04854010	Epson	7.6	38	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946356105	sofort	Nein	26.95
10102	ZTI EP T048640 HMA	Tinte Stylus Photo R200/ R300 / RX500	RX600/ RX620, hell magenta	3	0.06	24.8	23.05	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T04864010?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson T048640  hell magenta, 430 Seiten, zu Stylus Photo R200/R300/RX500/RX600/RX620		C13T04864010	Epson	7.6	38	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946356129	sofort	Nein	26.95
10147	GEM RT KALTLI ROT	Revoltec Kaltlichtkathode rot, 12V,4.88W	Länge ca. 31.1 cm, Durchmesser ca. 1 cm	13	0.14	7.9	7.34	http://www.revoltec.net/revoltec.net/index.php?StoryID=7&ArticleID=153&WorldID=6&websiteLang=de	Revoltec Kaltlichtkathode rot, 12V, 4.88Watt, Länge ca. 31.1 cm, Durchmesser ca. 1 cm		RM017	Revoltec	7.6	16.9	24	27.04.07	PCs und Komponenten	Gehäuse/PC-Netzteile	Gehäuse-/Montagezubehör	Gehäuse Zubehör	4260048810139	sofort	Nein	10.45
10168	ZTI EP T053040	Tinte Stylus Photo/700/750/EX	farbig	2	0.1	32.55	30.25	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T05304010?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson S020110 farbig, 220 Seiten, zu Stylus Photo/700/750/EX		C13T05304010	Epson	7.6	48	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946356242	sofort	Nein	35
10210	LA BRO HL6050D	Brother HL-6050D, 500Blatt, LCD-Anzeige	32MB, 24S/min,1 PCL6, USB, Parallel, Duplex	3	23.91	752.75	699.58	http://www.brother.ch/products/welcome.cfm?prod_art=HL-6050D	Brother HL-6050D, 500Blatt, LCD-Anzeige, 32MB RAM, 24S/min,1200 dpi,  PCL6, USB, Parallel, Duplex		HL6050D	Brother	7.6	853.85	12	25.05.07	Büromaterial/-bedarf	Drucker/Papier/Folien	S/W Laserdrucker	Printer Laser	4977766622998	sofort	Nein	776.6
10211	ZTO BR DRUM DR-4000	Trommel Brother DR-4000	HL6050/HL6050D/HL6050DN	6	1.31	139.95	130.07	http://www.brother.ch/products/welcome.cfm?prod_art=DR-4000	Trommeleinheit Brother DR-4000, zu HL6050/HL6050D/HL6050DN		DR4000	Brother	7.6	189	12	05.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner	4977766623025	sofort	Nein	147.8
10212	ZTO BR TN-4100	Toner Brother HL-6050 / 6050D / 6050DN	ca. 7500s@5%	10	1.35	109.3	101.58	http://www.brother.ch/products/welcome.cfm?prod_art=TN-4100	Toner Brother TN-4100, HL6050 / 6050D / 6050DN  , ca. 7500 Seiten @5%		TN4100	Brother	7.6	139	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner	4977766623032	sofort	Nein	113.3
10213	LA BRO LT6000 FEEDER	Brother Zusatzschacht, 500 Blatt	zu Brother HL6050 / HL 6050D / 6050DN	4	7.72	223	207.25	http://www.brother.ch	Brother LT-6000, Zusatzschacht, 500 Blatt, zu Brother HL6050 / HL 6050D / 6050DN		LT-6000	Brother	7.6	256.45	12	21.03.07	Büromaterial/-bedarf	Drucker/Papier/Folien	S/W Laserdrucker	Printer Laser	4977766622875	sofort	Nein	229.2
10214	LA BRO HL6050DN	Brother HL-6050DN, 500Blatt, LCD-Anzeige	32MB, 24S/min,PCL6,USB,Parallel, LAN,duplex	2	23.8	1002.65	931.83	http://www.brother.ch/products/welcome.cfm?prod_art=HL-6050DN	Brother HL-6050DN, 500Blatt, LCD-Anzeige, 32MB RAM, 24S/min,1200dpi,PCL6, USB, Parallel, LAN,Duplex!		HL6050DN	Brother	7.6	1131.95	12	20.03.07	Büromaterial/-bedarf	Drucker/Papier/Folien	S/W Laserdrucker	Printer Laser	4977766623001	sofort	Nein	1036.2
10221	ZTO HP Q2612A	Toner Q2612A  HP LJ1010/1012/1015/1022	ca 2000 Seiten @5% Deckung	497	0.88	67.65	62.87	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF11a/2921.html	Toner HP Q2612A schwarz, 2000 Seiten, zu Laserjet 1010/1012/1015/1020/1022		Q2612A	HP	7.6	88	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	70.45
10227	SW LO KVM-0420 4P USB 19	LevelOne KVM-0420: 4Port 19" KVM-Switch	USB, PS/2, VGA, 1920x1440, Passwort, OSD	8	3.57	172.05	159.9	http://www.level-one.de/levelone.php?page=prod&cat=7029&model=KVM-0420	LevelOne KVM-0420: 4Port 19" KVM-Switch, USB, PS/2, VGA, 1920x1440, Passwort, OSD, kaskadierbar		590420	LevelOne	7.6	225.55	24	16.09.06	PC-Peripherie (Zubehör)	Switchboxen/Umschalter	KVM Switch local	Switchboxen	4015867105832	sofort	Nein	187.35
10230	SW KA LO ACC-2003 USB 01.8M	LevelOne ACC-2003: Kabel zu Switchbox 1.8m	USB, VGA, für KVM-xx20	25	0.21	14.2	13.2	http://www.level-one.de/levelone.php?page=prod&cat=7029&model=ACC-2003	LevelOne ACC-2003: Kabel zu LevelOne Switchbox KVM-xx20,USB, VGA, 1.8m	für LevelOne KVM-0410, KVM-0420, KVM-0820, KVM-1620	591030	LevelOne	7.6	22.55	24	11.05.04	PC-Peripherie (Zubehör)	Switchboxen/Umschalter	KVM Switch local	Switchboxen	4015867106020	sofort	Nein	16.7
10231	SW KA LO ACC-2004 USB 03M	LevelOne ACC-2004: Kabel zu Switchbox 3m	USB, VGA, für KVM-xx20	37	0.41	18.45	17.15	http://www.level-one.de/levelone.php?page=prod&cat=7029&model=ACC-2004	LevelOne ACC-2004: Kabel zu LevelOne Switchbox KVM-xx20, USB, VGA, 3m	für LevelOne KVM-0420, KVM-0820, KVM-1620	591040	LevelOne	7.6	28.75	24	16.09.06	PC-Peripherie (Zubehör)	Switchboxen/Umschalter	KVM Switch local	Switchboxen	4015867106037	sofort	Nein	21.4
10281	KA SATA RT UV 50	Revoltec Serial ATA Kabel mit 2 Steckern UV	50cm	10	0.05	8.3	7.71	http://www.revoltec.net	Revoltec SATA Kabel UV, 2 Stecker 50cm, leuchtet (blau) nur bei UV-Licht!		RC036	Revoltec	7.6	15.9	24	19.10.06	PCs und Komponenten	Kabel/Adapter	Computerkabel	Kabel, Adapter, Zubehör	4260048811808	sofort	Nein	10.75
10336	G19 ZU TRI GR 2FAN	Triton Lüftereinheiten: für Dach/Bodenmont.	zu 19" Serverschrank, 2 Lüfter, grau	3	7	192.75	179.14	http://www.digital-data.de/german/index.php?IDT=768&IDU=4403&NID=1&NID2=7	Triton Lüftereinheit: für Dach/Bodenmontage zu 19" Serverschrank, 2 Lüfter, mit Thermostat, grau	220-240V, 50/60Hz, 160m3/h, geräuscharm	RAC-CH-X03-X3	Triton	7.6	319	24	27.04.07	Netzwerk/Server	19"/10"-Schränke/-Zubehör	19"-Böden/Lüfter/Sockel	Server und Zubehör	8595105016084	sofort	Nein	252.3
10337	G19 ZU TRI GR GB-80-650	Triton 19" Geräteboden: 1HE, 650mm, 80kg	inkl. Schrauben und Montagewinkel, grau	17	3.9	36.9	34.29	http://www.triton-racks.de/index.php?path=000005001000&page=1&lang=DE	Triton 19" Geräteboden: 1HE, Tiefe 650mm, Tragkraft 80kg, inkl. Schrauben und Montagewinkel, grau	Mit wenigen Handgriffen montierbar	RAC-UP-650-A3	Triton	7.6	61	12	27.04.07	Netzwerk/Server	19"/10"-Schränke/-Zubehör	19"-Böden/Lüfter/Sockel	Server und Zubehör	8595105011089	sofort	Nein	51.65
10343	G19 ZU TRI GR BP 1HE	Triton Blindplatte: 1HE, grau	Abdeckfront zu 19" Serverschrank	8	0.24	9.25	8.6	http://www.triton-racks.de/index.php?path=000005003&page=1&lang=DE	Blindplatte: 1HE, Abdeckfront zu 19" Serverschrank, inkl. Montageschrauben, grau		RAC-ZP-X01-A1	Triton	7.6	20.9	12	13.04.06	Netzwerk/Server	19"/10"-Schränke/-Zubehör	19" Zubehör	Server und Zubehör	8595105030691	sofort	Nein	14.7
10399	ZTI CA BCI-6PC	Tinte Canon BCI-6PC	Nachfüllpatrone photo-cyan	5	0.05	12.4	11.52		Tinte Canon 4709A002 / BCI-6PC cyan, 13ml, zu BJC 8200/i905 D/i9500/i950/i990/i9950,	PIXMA iP6000 D/iP8500, 280 Seiten@ 5% Deckung	4709A002	Canon	7.6	22.9	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	4960999864730	sofort	Nein	15.65
10400	ZTI CA BCI-6PM	Tinte Canon BCI-6PM	Photo Nachfüllpatrone photo-magenta	12	0.05	12.4	11.52		Tinte Canon 4710A002 / BCI-6PM photo-magenta, 13ml, zu  i965, i905D, i9100, i950, i9950, BJC 8200,	PIXMA iP6000D/8500, 280 Seiten@ 5% Deckung	4710A002	Canon	7.6	22.9	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	4960999864709	sofort	Nein	15.65
10425	G19 ZU EQ GR PATP 16 C6	equip 19" Patchpanel: 16 Port, 1HE, grau	Cat.6, zu 19" Serverschrank	4	2.25	67.4	62.64	http://www.equip-info.de/german/index.php?main=0&suche=326316&prod=1015&suche=326316	equip 19" Patchpanel: 16 Port, 1HE, RJ45, grau, Cat 6, Vollschirmung, Schirmkontaktierung	LSA+Anschlusstechnik Stahlblechgehäuse mit Kabelaufnahme	326316	equip	7.6	129	24	12.03.07	Netzwerk/Server	19"/10"-Schränke/-Zubehör	19"/10"-Patchpanel	Server und Zubehör	4015867109038	sofort	Nein	86.3
10432	SO ZY ICARD SILVER	ZyXEL iCard Sliver Content-Filter	Abonnement für 1 Jahr	9	0.01	63.7	59.2	http://www.zyxel.ch/products.cfm?action=detail&lang=d&area=1&art=2820	ZyXEL iCard Silver Content-Filter, Abo für 1 Jahr, für Zywall 2/2WE/10W und Prest. 652H/652HW	52 Kategorien, aktuell dank Online-Datenbank, blockieren nach Tageszeit, Rapport über blockierte Zugriffe	2820	Zyxel	7.6	84	24	31.07.09	Netzwerk/Server	LAN	Router/Firewall	Modem/Router/Firewall	4718937030132	sofort	Nein	67.1
10434	SO ZY ICARD GOLD CF 1J	ZyXEL iCard Gold Content-Filter	Abonnement für 1 Jahr	0	0.06	283.95	263.89	http://www.zyxel.ch/products.cfm?action=detail&lang=d&area=1&art=2821	ZyXEL iCard Gold Content-Filter, Abo für 1 Jahr, für ZyWALL 35 und 70	aktuell dank Online-Datenbank, blockieren nach Tageszeit, Rapport über blockierte Zugriffe, verfügbar ab Firmware Rev. 3.62	2821	Zyxel	7.6	379	24	11.02.10	Netzwerk/Server	LAN	Router/Firewall	Modem/Router/Firewall	4718937030125	unbekannt	Nein	296.95
10546	KAS ST PRO19 6XT13 OS	Steckdosenleiste 19", 6xT13	3m Kabel, ohne Schalter, Rack Montagehalter	45	0.72	61.05	56.74	http://www.steffen.ch	STEFFEN STEBA PROfil, Steckdosenleiste 19", 6xT13, 3m Kabel, ohne Schalter, Rack Montagehalter,		19Z6120 6K3	Steffen	7.6	85	12	12.03.07	Netzwerk/Server	19"/10"-Schränke/-Zubehör	19" Steckerleisten	Kabel, Adapter, Zubehör	7611007523381	sofort	Nein	68.65
10557	G19 ZU TRI KABELBÁ 44	Kabelbügel 40x40 mm	zu 19" Serverschrank	127	0.04	10.25	9.53	http://www.triton-racks.de/index.php?path=000005013&page=1&lang=DE	Kabelbügel 40x40 mm, Für ein sauberes Kabelmanagment im Serverschrank, inkl. Schraubenset		RAX-D2-X44-X3	Triton	7.6	21.9	12	27.04.07	Netzwerk/Server	19"/10"-Schränke/-Zubehör	19" Kabelmanagement	Server und Zubehör	8595105083406	sofort	Nein	16.05
10605	G19 ZU EQ GR PATP 24 C5E	equip 19" Patchpanel: 24 Port, 1HE, grau	Cat.5e, zu 19" Serverschrank	11	2.34	68.95	64.08	http://www.equip-info.de/german/index.php?main=10&gruppe=600&prod=728&article=327324	equip 19" Patchpanel: 24 Port, 1HE, RJ45, grau, Cat 5e, Vollschirmung, Schirmkontaktierung	LSA+Anschlusstechnik Stahlblechgehäuse mit Kabelaufnahme	327324	equip	7.6	129	24	12.03.07	Netzwerk/Server	19"/10"-Schränke/-Zubehör	19"/10"-Patchpanel	Server und Zubehör	4015867457269	sofort	Nein	88.15
10695	G19 ZU TRI M6SET 4	Montageset, 4xM6 Schrauben und Muttern	zu 19" Serverschrank	6	0.03	7.35	6.83	http://www.triton-racks.de/index.php?path=000005012&page=1&lang=DE	Schrauben, Muttern, 4Stk. Montageset, zur Befestigung verschiedener Zubehörkomponenten		RAX-MS-X19-X1	Triton	7.6	18.9	12	27.04.07	Netzwerk/Server	19"/10"-Schränke/-Zubehör	19" Zubehör	Server und Zubehör		sofort	Nein	12.35
10750	ZTO BR DR-3000	Trommel Brother DR-3000	HL5150D/HL5170DN	5	0.85	193.85	180.16	http://www.brother.ch/products/welcome.cfm?prod_art=DR-3000	Trommeleinheit Brother DR-3000,  bis 20'000 Seiten, je nach Druckjob	HL5150D/5170DN /MFC-8220/DCP-8045/DCP-8045D/MFC-8840D/MFC-8840DN	DR3000	Brother	7.6	259	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner	4977766623575	sofort	Nein	203.75
10753	ZTO BR TN-3060	Toner Brother HL5150D / 5170DN	ca. 6700s@5%	12	1	105.5	98.05	http://www.brother.ch/products/welcome.cfm?prod_art=TN%2D3060	Toner Brother TN-3060, ca. 6700 Seiten @5%	HL5150D/5170DN /MFC-8220/DCP-8045/DCP-8045D/MFC-8840D/MFC-8840DN	TN3060	Brother	7.6	149	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner	4977766623568	sofort	Nein	111.95
10815	RAM KI DDR KVR333X72C25/512	Kingston Memory DDR ECC 512MB, PC-2700	32Mx72, CL2.5, 184Pin, Lifetime Warranty	0	0.04	29.45	27.37	http://www.ec.kingston.com/ecom/configurator_new/PartsInfo.asp?root=de&LinkBack=http://www.kingston.com/deroot&ktcpartno=KVR333X72C25/512	Kingston Memory DDR  512MB PC-2700 ECC, 333MHz, 64Mx72, CL2.5, 184Pin	Lifetime Warranty	KVR333X72C25/512	Kingston	7.6	46	120	27.04.07	Netzwerk/Server	Server	Server Komponenten	RAM		unbekannt	Nein	34.75
10834	NO AS ZU AC 65W	ASUS AC Adapter, 65 Watt	zu 12 - 17" mit shared Grafik	26	0.58	63	58.55		ASUS AC Adapter, 65 Watt, zu A6, A8, B50, F2, F3, F5, F52, F6, F80, F9, K40, K50, N10, N20, P50,	U1, U2, U50, UL50, UX50, U6, V6, S6, W5, X51-Serie	90-XB03N0PW00010Y	ASUS	7.6	79	12	08.06.04	PCs und Komponenten	Notebooks/Tablet PCs	Zubehör	Notebook Zubehör	4719543219713	sofort	Nein	75.7
10835	NO AS ZU AC 90W	ASUS AC Adapter, 90 Watt, 4.74A	zu 12 - 17" mit non shared Grafikkarte	83	0.8	80	74.35		ASUS AC Adapter, 90 Watt, zu A6, A7, A8, F3, F5, F50, F6, F7, F70, F8, F80, G1, G2, K40, K50, K70,	L50, M50, M51, M60, M70, N50, N51, N60, N61, N70, N71, N80, N90, V1, V2, W1, W2, X61, X71 - Serie	90-XB04N0PW00010Y	ASUS	7.6	99	12	29.06.05	PCs und Komponenten	Notebooks/Tablet PCs	Zubehör	Notebook Zubehör	4719543219201	sofort	Nein	94.6
10924	ZTOFL BR TN-04BK	Toner black zu Brother HL2700CN,	TN-04BK, 10000 Seiten@5% Deckung	17	1.19	198.7	184.67	http://www.brother.ch/products/welcome.cfm?prod_art=TN%2D04BK	Toner Brother TN-04BK schwarz, zu  HL2700C, 10000 Seiten @5% Deckung		TN04BK	Brother	7.6	259	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner	4977766618953	sofort	Nein	208.8
10926	ZTOFL BR TN-04C	Toner cyan zu Brother HL2700CN	TN-04C, 6600 Seiten@5% Deckung	5	1.14	214.7	199.54	http://www.brother.ch/products/welcome.cfm?prod_art=TN%2D04C	Toner Brother TN-04C cyan, zu  HL2700CN, 6600 Seiten @5% Deckung		TN04C	Brother	7.6	279	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner	4977766618960	sofort	Nein	225.4
